StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,Wet/Dry Period
28,1,200706,4.5,69.3,1.49,1.49,0.13,0.34,140,11,0.37,-0.72,1.1,0.66,1,0.92,1.2,57.4,81.1,0
28,1,200707,5.94,71.8,1.67,1.67,1,0.89,214,0,0.66,0.61,-0.17,0.89,0.74,1.06,1.43,61,82.6,1
28,1,200708,5.82,71.2,1.87,1.87,1.12,1.46,198,6,0.72,0.82,0.78,1.27,0.62,1.22,1.84,60.7,81.7,1
28,1,200709,1.1,66,0.81,0.81,-2.59,-0.58,78,48,-2.03,-0.39,0.02,0.64,0.39,0.72,1.69,53.8,78.1,0
28,1,200710,6.36,60.1,1.33,1.33,1.81,0.61,26,178,1.18,0.01,0.36,0.11,0.83,0.73,1.06,49.6,70.6,0
28,1,200711,3.14,40.9,1.01,1.01,-0.55,0.1,0,723,-0.17,0.81,-0.17,0.46,0.92,0.46,0.96,31.7,50.1,0
28,1,200712,5.54,32.7,1.56,1.56,1.95,1.15,0,1001,1.03,0.55,1.14,0.67,1.07,0.87,1.09,25.7,39.6,1
28,1,200801,1.89,31.8,0.88,0.88,-1.55,-0.15,0,1029,-1.12,0.2,0.01,0.16,0.05,0.69,0.79,23,40.6,0
28,1,200802,6.33,31.7,2.3,2.3,4.52,2.3,0,932,2.07,0.93,1.24,0.63,0.91,1.26,1.11,22.6,40.9,1
28,1,200803,5.38,38.9,2.56,2.56,1.49,2.56,0,809,0.98,1.98,1.29,1.5,1.13,1.39,1.46,28.5,49.2,1
28,1,200804,2.7,51.7,-0.58,1.71,-1.75,0.9,0,399,-0.66,0.28,1.24,0.81,0.7,0.51,1.31,39.3,64.2,1
28,1,200805,4.25,55.9,-0.44,1.62,0.25,0.88,6,288,0.24,-0.29,0.31,0.98,0.59,0.84,1.45,43.8,68,1
